OID,FID_1,Field1,category,id,latitude,longitude,general_ca,FID_2,label,altname,name,code,centroid_x,centroid_y
81,169,169,italian,EQVdohDrRxogmnoL8VnfXg,51.497627,-0.1651673,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
82,171,171,italian,gTXIXbAoUnBMx9CMvhjDaA,51.4916496,-0.1714491,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
83,173,173,italian,Q3xaSqPst6f1mXkgPI0FHw,51.4976196,-0.2028484,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
84,174,174,italian,PvXAsNEKk0aocDwz-o9UKA,51.49918,-0.1837949,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
85,176,176,italian,6aWsRctfgr1LwTMtbksH4w,51.49246597,-0.17701,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
86,177,177,italian,EE2KLvA5iF-dgRGeWjBc7Q,51.4934731,-0.167262,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
87,180,180,italian,hflLZDle3N4TE059hnonXg,51.493715,-0.159183,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
88,182,182,italian,wdIGtn_e3Myqp5QLjfMCkw,51.491252,-0.167248,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
89,193,193,italian,jkUgv2q0Ygq094iy-Gm-_g,51.49339472,-0.173753522,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
90,199,199,italian,E4yxoST5ZkINm8KDV6ifDQ,51.51015307,-0.197551064,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
91,206,206,italian,dSCWduCGh6DC-1Enr0hoGQ,51.4968484,-0.20541694,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
92,208,208,italian,WlM-aqwI6-GpTrTFLXeG4w,51.5085189,-0.1998431,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
93,209,209,italian,Te_NzSWhOS9rOjafEwW2iA,51.49614,-0.164128,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
94,211,211,italian,l4CQZDQ7pCmkhopx89oU2g,51.494935,-0.187241,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
95,216,216,italian,QS4mujF-8nPRulJCktyRtQ,51.4947797,-0.1875799,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
96,217,217,italian,6F7g2QPLN3Src-nWUjIXSw,51.4930788,-0.1766343,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
97,223,223,italian,7qG_nrBJsa8_nlhNh-KryQ,51.48752573,-0.164572184,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
98,225,225,italian,DvxbdqM1lvn2visSF9WHaA,51.498242,-0.166853,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
99,226,226,italian,TFLiZPSrtJhzpW8qriX2fA,51.5154939,-0.2056495,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
100,228,228,italian,Hvp26nVCqtQHfn7uLibWJg,51.4947815,-0.1875799,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
101,241,241,italian,EItvpaQsJOmS_cumOuFS6A,51.51538562,-0.205640606,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
102,249,249,italian,lidvHVZ3jVHTNzrcPjwZ5g,51.491453,-0.159404,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
103,250,250,italian,C5lQfQ5XfDzKBk9Qbuj4_g,51.4971325,-0.1620878,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
104,253,253,italian,i7V_LLEMvkmjAZUb9WMWHw,51.491252,-0.167248,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
105,254,254,italian,4gq0MNqjvkAyvjnDGQK0qg,51.48898344,-0.16528823,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
106,255,255,italian,o8XSluCgafYqf7Ia8hbeOQ,51.49303,-0.193165,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
